code,water_source_type,inspecting_agency,inspection_date,region,district,source_name,nearest_settlement_name,distance_to_settlement,establishing_agency,date_source_established,latitude,longitude,gps_precision,permanent,functioning,reason_for_non_functioning,last_intervention_agency,last_intervention_description,last_intervention_date
,Dug Well,Puntland Ministry of Energy Minerals and Water,2022-04-03,Sool,las_caanood,Dhaban dug well,Dhaban,1.0,Community,03/04/1995,9.3667833,47.5143175,,yes,Yes,,USA International Development,03/04/2021,"1. Rehabilitation of shallow well
2. Installation of solar power"
,Borehole,FGS Ministry of Energy and Water Resources,,Bay,Baydhaba,el-win,Jakatoon,,UNISOM,17-09-04,3.2179,43.1998,,No,Yes,,,,
,Borehole,FGS Ministry of Energy and Water Resources,,Bay,Baydhaba,Afuugda,Baidoa,,Hindi,13-11-94,3.1566,43.6229,,No,No,Lack of generator,10/6/2017,,
,Dug Well,FGS Ministry of Energy and Water Resources,2022-03-21,Gedo,garbharey,Ceel garuun,Tuulodhumod,5.0,Private,21/03/2022,3.8031535,42.5507034,,yes,Yes,,Community,21-Mar-22,Extended 
,Dug Well,FGS Ministry of Energy and Water Resources,2022-03-29,Lower Shabelle,afgooye,Nuunow water supply ,Taraafiko,2.0,Mercy USA,29/03/2022,2.1435173,45.1252383,,yes,Yes,,Private,29-Mar-20,Maintain the water tank 
,Dug Well,Somaliland Ministry of Water Resources Development,2022-05-05,Sanaag,ceel_afweyn,Ceelnimcoon dug well,Ceelnimcoon,0.1,,08/07/2007,9.72627632785589,47.1097929216921,,yes,Yes,,Oxfam Novib,13/12/2020,"Construction of animal troughs 
Construction and rehabilitation of water kiosks.
Shallow well cleaning."
,Dug Well,FGS Ministry of Energy and Water Resources,2022-03-15,Hiraan,beled_weyne,Ceelka bashiir water supply ,Kooshin Lanta nation,1.0,Community,11/11/2012,4.7385373,45.2035884,,yes,Yes,,Save the Children UK,11-Nov-16,Dug well
,Dug Well,FGS Ministry of Energy and Water Resources,2022-05-29,Hiraan,beled_weyne,Miidaan,Buundaweyn,,International Committee of The Red Cross,17/12/1920,4.448,45.1217,,yes,Yes,,,,
,Dam,FGS Ministry of Energy and Water Resources,2022-04-18,Bay,qansax_dheere,Hareri jiron,Hareri jiron,2.0,Community,10/01/1981,2.853407,42.95433,,yes,No,Other,,,
,Dug Well,Puntland Ministry of Energy Minerals and Water,2022-03-28,Nugaal,garowe,Cuun dugwell 2,Cuun,,,,8.8162779,48.8932247,,yes,No,"A months , for power problems",,,
,Dug Well,Puntland Ministry of Energy Minerals and Water,2022-04-03,Sool,taleex,Carooley Dug well,Carooley,0.0,Community,03/04/2006,8.85608,48.1468823,,yes,Yes,,,,
,Dug Well,FGS Ministry of Energy and Water Resources,2022-04-18,Bay,diinsoor,Ibrahim Nina,Holwadaag,,Private,01/01/1984,2.414038,42.968936,,no,Yes,,,,
,Dug Well,FGS Ministry of Energy and Water Resources,2022-03-26,Lower Shabelle,afgooye,Ceelka Cabdikariim,,2.0,Private,01/01/2007,2.1501408,45.1164217,,yes,Yes,,Private,21-Mar-21,5
,Dug Well,FGS Ministry of Energy and Water Resources,2022-04-19,Bay,diinsoor,Haji Ali,Siinaay,,Private,01/01/2012,2.41366,42.985471,,no,Yes,,,,
,Dug Well,FGS Ministry of Energy and Water Resources,2022-03-17,Middle Shabelle,balcad,Daymo Saar,Daymo Saar,1.0,Community_,18/09/2011,2.213768,45.4530161,,yes,Yes,,Community_e,18-Apr-15,Submersible pump and pipeline extension 
,Dug Well,FGS Ministry of Energy and Water Resources,2022-05-30,Hiraan,beled_weyne,Beder Water Supply ,Buloyacqub ,,,23/07/2016,4.441,45.1317,,yes,Yes,,,,
,Dug Well,FGS Ministry of Energy and Water Resources,2022-03-21,Middle Shabelle,jowhar,Gumbe,Gumbe ,0.0,Polish Humanitarian Action,09/09/2020,2.8411473,45.5308385,,yes,Yes,,,,
,Dug Well,Somaliland Ministry of Water Resources Development,2022-04-25,Woqooyi Galbeed,gebiley,Mahfud dugwell,Arabsiyo,0.1,Mahfud Abdilahi,24/02/2022,9.6715403,43.7571807,,yes,Yes,,,,
,Dug Well,FGS Ministry of Energy and Water Resources,2022-06-09,Gedo,cel_waq,Celka xassan diriya,Darken doqa,1.0,,13/10/2006,2.7874606,41.0134132,,yes,Yes,,,9-Jun-22,
,Dug Well,FGS Ministry of Energy and Water Resources,2022-05-30,Hiraan,beled_weyne,Ahmed Cadar ,Xaawataako ,,Private,23/12/2013,4.446,45.1239,,yes,Yes,,,,
,Dug Well,Puntland Ministry of Energy Minerals and Water,2022-03-15,Bari,bandar_beyla,Biyo guduud dug well,Biyo guduud,0.3,"Puntland Ministry of Energy, Minerals and Water",15/08/2014,9.8131617,50.5917667,,yes,Yes,,Islamic Relief Somalia,08/08/2021,"1.Construction of two rooms, full rehabilitation of pipelines and kiosks and troughs,
2.Supplied solar power system and generator."
