water_source_type,inspecting_agency,inspection_date,region,district,source_name,nearest_settlement_name,establishing_agency,date_source_established,latitude,longitude,permanent,functioning,reason_for_non_functioning,management_type,wsc_date_of_establishment,cost_of_water_for_humans,name_of_operator,operator_contact_number,last_intervention_description,last_intervention_date
Dug Well,SWALIM_GSA,2017-05-14,Bakool,Waajid,Geedi SH,Howl wadaag,Private,28-06-05,3.8141,43.2439,No,Yes,,,,,,,,
Dug Well,SWALIM Archives,2004-07-06,Bakool,Waajid,War Garas,,,07-04-05,3.6907,43.2461,No,Yes,,Community,,,Yes,,,2005-06-25
Dug Well,SWALIM Archives,2004-09-17,Bakool,Waajid,Eleen Jeedo,,,,3.8073,43.2459,Yes,Yes,,,,,No,,,
Dug Well,SWALIM Archives,2004-09-23,Bakool,Waajid,Jiisow,,Community,09-06-05,3.8152,43.2466,Yes,Yes,,,,,Yes,,,
Dug Well,SWALIM_GSA,2018-06-06,Bakool,Waajid,waajid,waajid,Private,21-06-05,3.8072,43.2484,No,Yes,,Private,,,,,,
Dug Well,SWALIM_GSA,2017-05-14,Bakool,Waajid,waajid SH,Wadajir,Private,21-06-05,3.8072,43.2484,No,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2009-09-29,Gedo,Luuq,Bar Bareess 1,Yurkut,CARE Somalia, 1/28/2007,3.4478,42.8622,Yes,Yes,,,,,,,,
Dug Well,SWALIM_GSA,2018-06-06,Bakool,Waajid,Hidig,waajid,Community,09-06-05,3.8146,43.2495,Yes,Yes,,Community,,,,,,
Dug Well,SWALIM_WSIS,2009-08-04,Bakool,Xudur,Dudumaale,Dhanaawe,, 1/23/1998,4.1458,44.1136,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-10,Nugaal,Garoowe,Boodayare,Sibidhiq,,,8.6697,48.5025,Yes,Yes,,,,,,,,
Dug Well,SWALIM Archives,2004-08-15,Bakool,Waajid,Garas Maamow,,Community,11-06-05,3.7201,43.2524,Yes,Yes,,,,,Yes,,,
Dug Well,SWALIM Archives,2004-08-15,Bakool,Waajid,War lowiiley,,,28-05-05,3.7056,43.2529,No,Yes,,Community,,,Yes,,,2005-06-25
Dug Well,SWALIM_GSA,2018-06-06,Bakool,Waajid,Hospital SH,waajid,Community,16-06-05,3.8087,43.254,Yes,Yes,,Community,,,,,,
Dug Well,SWALIM Archives,2004-07-11,Bakool,Waajid,Madhowey,,,09-04-05,3.635,43.2958,No,Yes,,community,,,Yes,,,2005-06-25
Dug Well,SWALIM Archives,2004-05-05,Bakool,Waajid,Buur dhuxunle,,,,4.0597,43.2474,No,Yes,,,,,Yes,,,
Dug Well,SWALIM_WSIS,2008-06-02,Sanaag,Ceerigaabo,Xarshow 2,Laaso Surad,,,11.1741,47.4546,,,,,,,,,,
Borehole,Somaliland_MoWR,2014-01-05,Togdheer,Burco,Dr. Ahmed  H. Hasan,Aden Suleiman,Dr. Ahmed H.Hasan,01-10-10,9.5198,45.5879,Yes,Yes,,Private,,,,,Pump Replacement,2012-11-01
Dug Well,SWALIM_WSIS,2008-06-20,Togdheer,Burco,Qoyta Dug Well,Qoyta,,,9.6874,45.4457,Yes,Yes,,,,,,,,
Borehole,Somaliland_MoWRD,2019-11-02,Togdheer,Burco,Iskaashatada aadan cade borehole,Burco,Private,27-05-19,9.4092,45.5896,No,No,This is new Borehole,Utility/Local Authority,,,,,,
Borehole,Somaliland_MoWR,2014-01-05,Togdheer,Burco,Aden Suleiman,Aden Suleiman,UAERC - United Arab Emirates Red Crescent,01-01-12,9.52503,45.5957,Yes,Yes,,Public,,,,,,
Dug Well,SWALIM_HGS,2012-02-18,Sanaag,Ceerigaabo,Darbi-Duqa,,,,10.6685,47.5922,,Yes,,,,,,,,
Borehole,Somaliland_MoWR,2014-01-07,Togdheer,Burco,Ternary Factory,Ternary Factory Area,Tannery Factory ,01-06-01,9.5172,45.5518,Yes,Yes,,Private,,,,,Pipe maintenance 60m,2012-05-01
Borehole,Somaliland_MoWRD,2019-10-12,Togdheer,Burco,Burco borehole 10,,Community,12-10-13,9.525,45.5957,Yes,Yes,,Private/Individual,,,,,,
Borehole,Somaliland_MoWRD,2019-10-12,Togdheer,Burco,Shaybe Borehole,Burco,Private,12-10-89,9.4863,45.5993,Yes,Yes,,Private/Individual,,,,,,
Borehole,Somaliland_MoWR,2014-02-01,Togdheer,Burco,Shaybe Ali BH2,Ilays Factory Area,Ali shaybe (Owner),01-06-04,9.4865,45.5994,Yes,Yes,,Private,,,,,New generator installed,
Borehole,Somaliland_MoWRD,2019-10-12,Togdheer,Burco,Qabile borehole,Burco,Private,12-10-03,9.4846,45.6011,Yes,Yes,,Private/Individual,,,,,,
Borehole,Somaliland_MoWR,2014-01-30,Togdheer,Burco,Suleiman Ninmadow,I lays Factory Area,,,9.4845,45.6012,Yes,No,,Private,,,,,,
Borehole,Somaliland_MoWRD,2019-10-20,Togdheer,Burco,Ileys Borehole,Burco,Private,20-10-03,9.4846,45.6041,Yes,Yes,,Private/Individual,,,,,Pumb and the pipe,2019-10-21
Dug Well,SWALIM_WSIS,2008-06-18,Togdheer,Burco,Harrada Gubato Xil,Harradda Gubato Xil,,,8.7789,45.4641,Yes,Yes,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-06,Togdheer,Burco,Harada gubata xil Dug Well 5,Harada gubata xil,Community, 10/6/1980,8.7785,45.4641,yes,Yes,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-06,Togdheer,Burco,Harada gubata xil Dug Well 2,Harada gubata xil,Somaliland MoWRD - Ministry of Water Resources Development, 10/6/1959,8.7785,45.4645,yes,No,,,,,,,,
Borehole,Somaliland_MoWRD,2019-10-12,Togdheer,Burco,Galaal borehole,Burco,Private,12-10-14,9.5072,45.6063,Yes,Yes,,Private/Individual,,,,,,
Borehole,Somaliland_MoWR,2014-01-30,Togdheer,Burco,Mahamed Jama Galal,Aden Suleiman,Mahamed Jana Galal ( Owner),01-01-14,9.5071,45.6063,Yes,Yes,,Private,,,,,,
Borehole,Somaliland_MoWRD,2019-10-12,Togdheer,Burco,Burco borehole 11,Burco,Community,12-10-19,9.5269,45.6076,Yes,Yes,,Utility/Local Authority,,,,,,
Borehole,Somaliland_MoWR,2014-01-30,Togdheer,Burco,Deero Company,Kurta Siibakhti,Mahamed Curyan,01-06-07,9.5133,45.6338,Yes,No,,Private,,,,,Solar system,2013-07-05
Borehole,Somaliland_MoWRD,2019-10-12,Togdheer,Burco,Barqadharag borehole,Burco,Private,12-10-19,9.4567,45.6339,Yes,Yes,,Private/Individual,,,,,,
Dug Well,SWALIM Archives,2004-07-12,Bakool,Waajid,Kawi,,,28-04-05,3.7838,43.308,No,Yes,,Community,,,No,,,2005-06-26
Dug Well,SWALIM_HGS,2012-02-18,Sanaag,Ceerigaabo,Daray 3,,,,10.6693,47.5068,,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-28,Sanaag,Ceerigaabo,Maydh Dug Well 1,Maydh,,,11.0072,47.1112,Yes,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-01-16,Sanaag,Ceerigaabo,Garabcad,Xamilka,,,9.9313,47.519,,Yes,,,,,,,,2060-05-18
Dug Well,SWALIM_HGS,2012-02-18,Sanaag,Ceerigaabo,Daray 2,,,,10.6544,47.529,,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-31,Sanaag,Ceerigaabo,Weyle Sidka,Caduur,,,10.6684,47.5923,Yes,Yes,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-11-04,Sanaag,Ceerigaabo,Welosidka dug well,WELOSUBKE,Amoud foundation, 3/28/2017,10.6685,47.5942,yes,Yes,,,,,,,Water tank 2 animal trough pipeline between tank and trough,2019-03-08
Dug Well,ICRC,2013-03-11,Sanaag,Ceerigaabo,Afweyne,Afweyne,,,10.7593,48.0464,,,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-06,Togdheer,Burco,Harada gubata xil Dug Well 1,Harada gubata xil,Community, 10/6/1940,8.7787,45.4642,no,No,,,,,,,,
Dam,SWALIM_WSIS,2008-06-24,Woqooyi Galbeed,Hargeisa,Baha Dhamal,Bahadhamal,,,8.9934,44.2704,Yes,Yes,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-29,Sanaag,Ceerigaabo,Lasa-surad Dug Well,Laasa-surad,Somaliland MoWRD - Ministry of Water Resources Development, 6/25/2018,11.1082,47.6331,yes,Yes,,, 7/17/2018,,,,,
Dug Well,SWALIM_WSIS,2008-06-02,Sanaag,Ceerigaabo,Lasa Surad,Lasa Surad,,,11.1088,47.6345,Yes,Yes,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-20,Sanaag,Ceerigaabo,Ceeldhere Dug Well,Ceeldheere,Karsay family, 9/17/1960,10.4311,47.6515,no,Yes,,, 4/16/1999,0.02,,,Solar system submersible pump,2016-04-19
Dug Well,SWALIM_WSIS,2008-11-06,Sanaag,Ceerigaabo,Xundhur Gaal,Biyo guduud,,,10.4352,47.6523,Yes,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-01-21,Sanaag,Ceerigaabo,Fudale,Eubbee,,,10.7026,47.6705,,Yes,,,,,,,,2052-08-25
Dug Well,SWALIM_HGS,2012-02-18,Sanaag,Ceerigaabo,Galool-D heer,,,,10.6543,47.7417,,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-06-21,Sanaag,Ceerigaabo,Waqadariya,Laas surad,,,11.1024,47.8018,Yes,No,,,,,,,,
Dug Well,SWALIM_GSA,2017-05-20,Bakool,Xudur,El Godow,El Godow,Private,,4.1042,43.9319,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-01-11,Sanaag,Xudun,Faragal,Sabawanaag,,,9.313972,46.983888,,Yes,,,,,,,,2060-09-20
Dug Well,SWALIM_WSIS,2008-06-13,Togdheer,Burco,Wadhan Dug Well 2,Wadhan,,,9.6305,45.3166,,No,,,,,,,,
Dug Well,SWALIM_WSIS,2008-06-20,Togdheer,Burco,Wadhan Dug Well,Wadhan Village,GRC - Germany Red Cross,,9.6293,45.3169,Yes,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-01-03,Togdheer,Burco,caynaba,Caynabo,,,8.9559,45.4099,,Yes,,,,,,,,2062-09-08
Dug Well,SWALIM_HGS,2012-02-28,Togdheer,Burco,Karasharka 2,,,,9.6875,45.4458,,Yes,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-06,Togdheer,Burco,Harada gubata xil (small lake),Harada gubata xil,Community,,8.778,45.4632,no,No,,,,,,,,
Dug Well,SWALIM_WSIS,2008-06-21,Togdheer,Burco,Ceel Biilicle,Bilicle,,,8.5658,45.5857,Yes,Yes,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-06,Togdheer,Burco,Harada Gubata Xil Dug Well 9,Harada gubata xil,Community, 10/6/1994,8.7775,45.4633,no,No,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-23,Togdheer,Burco,Beer 5,,,,9.3671,45.7641,,Yes,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-06,Togdheer,Burco,Harada gubata xil Dug Well 7,Harada gubata Xil,Community, 10/6/2019,8.7776,45.4635,no,No,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-06,Togdheer,Burco,Harada gubata xil Dug Well 8,Harada Gubata xil,Community, 10/6/2001,8.7773,45.4636,no,No,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-06,Togdheer,Burco,Harada gubata xil Dug Well 6,Harada gubata xil,Community, 10/6/2005,8.7778,45.4638,no,Yes,,,,,,,,
Dug Well,SWALIM Archives,2004-07-06,Bakool,Waajid,Meegagle,,,16-06-05,3.7036,43.3186,No,Yes,,Community,,,Yes,,,2005-06-26
Dug Well,Somaliland_MoWRD,2019-10-06,Togdheer,Burco,Harada gubata xil Dug Well 3,Harada gubata xil,Community, 10/6/1980,8.7786,45.464,no,No,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-06,Togdheer,Burco,Harada gubata xil Dug Well4,Harada gubata xill,Community, 10/6/1980,8.7785,45.464,no,No,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-13,Togdheer,Burco,Ceel Gooni Dug Well 1,,,,9.5304,45.5394,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-06-28,Togdheer,Burco,Dibis Dug Well 1,Dhubato,,,9.7362,45.5473,Yes,Yes,,,,,,,,2007-01-28
Dug Well,SWALIM_HGS,2011-12-11,Nugaal,Garoowe,Kalabayr,,,,8.4116,48.4908,,Yes,,,,,,,,2011-03-08
Dug Well,SWALIM_WSIS,2008-08-04,Nugaal,Garoowe,Garowe 15,,,,8.4137,48.4912,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-09,Nugaal,Garoowe,Quracle 2,,,,8.5501,48.4931,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-09,Nugaal,Garoowe,Qaxab,Sibidhiq,,,8.6819,48.4949,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-08-04,Nugaal,Garoowe,Bulsho,,,,8.409,48.4929,Yes,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-11,Nugaal,Garoowe,Waberi 3,,,,8.4072,48.4933,,Yes,,,,,,,,2000-06-21
Dug Well,SWALIM_HGS,2011-12-11,Nugaal,Garoowe,Waberi 2,Camp Ajuran,,,8.4,48.4964,,Yes,,,,,,,,2010-08-24
Dug Well,SWALIM_WSIS,2008-07-09,Nugaal,Garoowe,Darayle 2,Beley,,,8.5484,48.5076,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-08-03,Nugaal,Garoowe,Garowe 6 2,,,,8.4105,48.507,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-06-28,Nugaal,Garoowe,Doodhays,Garowe,,,8.2716,48.5072,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-10,Nugaal,Garoowe,Carmale,Timire,,,8.5279,48.5231,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-09,Nugaal,Garoowe,Sibidhiq,,,,8.642,48.5245,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-17,Nugaal,Garoowe,Suufle 2,Garowe,,,8.4126,48.5239,Yes,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-14,Nugaal,Garoowe,Warwayteen,Salaxley,,,8.2541,48.5594,,Yes,,,,,,,,1977-03-15
Dug Well,SWALIM_WSIS,2008-07-09,Nugaal,Garoowe,Dhuure,Beley,,,8.553,48.5814,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-15,Nugaal,Garoowe,Biyocade,Naso Hablood,,,8.3715,48.5953,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-07,Nugaal,Garoowe,Haynle,Komoko,,,8.5785,48.6067,Yes,Yes,,,,,,,,
Dug Well,SWALIM Archives,2004-07-05,Bakool,Waajid,Ideed Haasle,,Community,13-06-05,3.7136,43.446,Yes,Yes,,,,,Yes,,,
Dug Well,SWALIM_WSIS,2009-06-10,Gedo,Baardheere,Ceel Xaar,,,,2.2708,42.136,Yes,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-13,Nugaal,Garoowe,Baley 2,Baleey,,,8.4997,48.6068,,Yes,,,,,,,,2011-09-28
Dug Well,SWALIM_WSIS,2008-07-06,Nugaal,Garoowe,Qabiiloqarshe,Beley,,,8.5373,48.613,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-06,Nugaal,Garoowe,Jibagale 1,,,,8.4984,48.6238,Yes,Yes,,,,,,,,
Dam,SWALIM_WSIS,2008-06-24,Woqooyi Galbeed,Gebiley,Agamsaha,Arabsiyo Town,,,9.6861,43.7212,No,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-13,Nugaal,Garoowe,Baley 4,Jibagale,,,8.4977,48.6269,,Yes,,,,,,,,2011-06-21
Dug Well,SWALIM_WSIS,2008-07-08,Nugaal,Garoowe,Xamur 2,Xamur,,,8.7221,48.7456,Yes,Yes,,,,,,,,
Dug Well,SWALIM Archives,2004-07-11,Bakool,Waajid,Towsiiley,,,27-05-05,3.6844,43.3129,No,Yes,,community,,,Yes,,,2005-06-24
Dug Well,SWALIM_WSIS,2008-07-05,Nugaal,Garoowe,Ceel Bacaad,,,,8.4919,48.746,Yes,Yes,,,,,,,,
Dug Well,SWALIM Archives,2004-07-06,Bakool,Waajid,war wiin dhuray,,,,3.7036,43.3186,No,Yes,,,,,Yes,,,
Dug Well,SWALIM_WSIS,2008-07-05,Nugaal,Garoowe,Goddumay,,,,8.5298,48.7886,Yes,Yes,,,,,,,,
Dug Well,SWALIM Archives,2004-06-23,Bakool,Waajid,Jireey,,Community,23-05-05,3.8434,43.3253,Yes,Yes,,,,,Yes,,,
Dug Well,SWALIM Archives,2004-06-26,Bakool,Waajid,Dhurey 2,,Community,26-06-05,3.6546,43.3318,Yes,Yes,,,,,Yes,,,
Dug Well,SWALIM Archives,2004-05-31,Bakool,Waajid,El madker,,Community,,3.9896,43.338,No,No,,,,,Yes,,,
Dug Well,SWALIM_WSIS,2009-08-17,Bakool,Waajid,Dhuray,,, 1/25/1994,3.6458,43.3409,Yes,Yes,,,,,,,,2005-01-25
Dug Well,SWALIM Archives,2004-07-18,Bakool,Waajid,War Dhujile,,,28-04-05,3.8002,43.3472,No,Yes,,Community,,,Yes,,,2005-06-09
Dug Well,SWALIM Archives,2004-06-02,Bakool,Waajid,El-Madfariir,,Community,,3.9792,43.3559,No,Abandoned,,,,,Yes,,,
Dug Well,SWALIM Archives,2004-06-19,Bakool,Waajid,Elmad Faliir,,Community,24-06-05,3.9791,43.356,No,Yes,,,,,Yes,,,
Dug Well,SWALIM Archives,2004-07-05,Bakool,Waajid,Qooqon,,,25-04-05,3.7207,43.3619,No,Yes,,Community,,,Yes,,,2005-06-26
Dug Well,SWALIM Archives,2004-07-05,Bakool,Waajid,War turi,,,29-04-05,3.7657,43.3646,No,Yes,,Community,,,Yes,,,2005-06-26
Dug Well,SWALIM Archives,2004-09-06,Bakool,Waajid,War lowiiley,,,01-06-05,3.7839,43.369,No,Yes,,Community,,,Yes,,,2005-06-26
Dug Well,SWALIM Archives,2004-07-12,Bakool,Waajid,war Gaduudo,,,07-04-05,3.7803,43.371,No,Yes,,community,,,Yes,,,2005-06-24
Dug Well,SWALIM Archives,2004-07-18,Bakool,Waajid,War Adoy Leysaamed,,,28-04-05,3.7978,43.3775,No,Yes,,Community,,,Yes,,,2005-06-25
Dug Well,SWALIM_WSIS,2009-08-17,Bakool,Waajid,Fajar Garoowe,,,,3.6042,43.3864,Yes,Yes,,,,,,,,2005-01-25
Dug Well,SWALIM_WSIS,2009-07-08,Bakool,Waajid,Jiirey,,, 1/23/1995,3.8542,43.3864,Yes,Yes,,,,,,,,
Dug Well,SWALIM Archives,2004-07-11,Bakool,Waajid,Garoowe,,Community,20-06-05,3.6199,43.4015,Yes,Yes,,,,,Yes,,,
Dug Well,SWALIM Archives,2004-07-12,Bakool,Waajid,War Adoy,,,27-04-05,3.761,43.4062,No,Yes,,Community,,,Yes,,,2005-06-26
Dug Well,SWALIM Archives,2004-07-12,Bakool,Waajid,Waraaby,,,07-05-05,3.7226,43.4132,No,No,,community,,,Yes,,,2005-06-26
Dug Well,SWALIM_WSIS,2008-06-19,Togdheer,Owdweyne,Ceel Xume dug well 3,Owdweyne,,,9.3827,45.1622,Yes,Yes,,,,,,,,2005-01-28
Dug Well,SWALIM Archives,2004-08-14,Bakool,Waajid,Gaal boore,,Community,23-05-05,3.9881,43.4161,Yes,Yes,,,,,Yes,,,
Dug Well,SWALIM Archives,2004-08-14,Bakool,Waajid,Kamiisisle,,Community,29-03-05,3.9881,43.4162,Yes,Yes,,,,,Yes,,,
Dug Well,SWALIM Archives,2004-07-11,Bakool,Waajid,Low Garabow,,,13-05-05,3.6443,43.4209,No,Yes,,Community,,,Yes,,,2005-06-26
Dug Well,SWALIM Archives,2004-08-14,Bakool,Waajid,Orgofan,,Community,21-06-05,3.8938,43.4307,No,Yes,,,,,Yes,,,
Dug Well,SWALIM_WSIS,2009-08-23,Bakool,Waajid,Sije,,,,3.9792,43.4318,Yes,Yes,,,,,,,,
Dug Well,SWALIM Archives,2004-07-05,Bakool,Waajid,War Jinay,,,03-05-05,3.686,43.4451,No,Yes,,Community,,,No,,,2005-06-26
Dug Well,SWALIM_WSIS,2008-06-22,Bari,Iskushuban,Xandho,Hurdiya,,,10.6525,51.1366,Yes,Yes,,,,,,,,
Borehole,Somaliland_MoWR,2014-01-30,Togdheer,Burco,Barqodharag,Barqodharag Farm,Ahmed Dirir (Owner),01-06-07,9.4566,45.6341,Yes,No,,Private,,,,,Pump replacement and rising pipe,2012-09-01
Borehole,SWALIM_HGS,2012-02-23,Togdheer,Burco,Dakhanyado BH1,,,,9.4455,45.6539,,Yes,,,,,,,,
Borehole,SWALIM_HGS,2011-12-24,Togdheer,Buhoodle,Ceegaag/BUUB001,,,,8.61694,46.49459,,Yes,,,,,,,,2011-03-15
Borehole,Somaliland_MoWRD,2019-10-04,Togdheer,Burco,Balidhiig Borehole,Balidhiig,Somaliland MoWRD - Ministry of Water Resources Development,04-10-17,8.4076,45.9459,No,Abandoned,Urgently new Borehole drilling,Utility/Local Authority,,,,,,
Borehole,SWALIM_WSIS,2008-06-15,Togdheer,Burco,Qoryaale BH1,Kirir,,,9.0675,45.9697,Yes,No,,Other,,,,,,
Borehole,Somaliland_MoWRD,2019-09-27,Togdheer,Burco,Qoryale borehole,Qoryaale,IR - Islamic Relief,03-02-17,9.0828,45.9736,Yes,Yes,,Utility/Local Authority,,,,,,
Borehole,Somaliland_MoWR,2014-01-29,Togdheer,Burco,Qoryaale BH2,Qoryaale,Caritas Switzerland,01-06-11,9.0827,45.9738,No,No,,Public,,,,,"1800m pipeline, two kiosks, borehole development,  3 animal troughs, latrine and 11kw submersible pump",2012-07-04
Dug Well,SWALIM_WSIS,2008-07-03,Nugaal,Garoowe,Saan,Siuujiif,,,8.4995,48.8213,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-08,Nugaal,Garoowe,Burshaanle,Xamur,,,8.6792,48.8265,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-03,Nugaal,Garoowe,Quwaaxood,Sinujiif,,,8.2852,48.8169,,,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-13,Togdheer,Sheikh,Mijacaseeye Dug Well,Bixindule,,,10.1437,45.119,Yes,Yes,,,,,,,,2001-01-28
Borehole,Somaliland_MoWRD,2019-10-04,Togdheer,Burco,Codanle Borehole,Coodanle,Somaliland MoWRD - Ministry of Water Resources Development,04-10-17,8.3353,46.0423,No,Yes,,Utility/Local Authority,,,,,,
Dug Well,SWALIM_WSIS,2008-07-14,Nugaal,Garoowe,Cuun 1,Siigadheer,,,8.8171,48.8925,Yes,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-01-31,Nugaal,Garoowe,Lavadulli 1,,,,8.4496,48.8997,,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2009-08-01,Bakool,Xudur,Cusbo Eylo,,,,4.1876,43.7955,Yes,Yes,,,,,,,,
Borehole,Somaliland_MoWRD,2019-10-04,Togdheer,Burco,Xadhadhanka borehole,Xadhadhanka,IR - Islamic Relief,04-10-16,8.2997,46.1564,No,No,No pump no pipe,Communal,,,,,,
Borehole,SWALIM_HGS,2012-02-23,Togdheer,Burco,Dakhanyado/BUB009,,,,9.445472,45.653861,,Yes,,,,,,,,
Borehole,SWALIM_HGS,2012-02-23,Togdheer,Burco,Dakhanyado/BUB011,,,,9.484638,45.604166,,Yes,,,,,,,,
Borehole,SWALIM_HGS,2011-12-20,Togdheer,Burco,GTZ,,,,9.539305,45.530472,,Yes,,,,,,,,2003-10-22
Borehole,SWALIM_HGS,2012-02-24,Togdheer,Burco,Salebankulul/BUB014,,,,9.53725,45.522388,,Yes,,,,,,,,
Borehole,SWALIM_HGS,2012-02-24,Togdheer,Burco,Salebankulul/BUB019,,,,9.512,45.497583,,Yes,,,,,,,,
Borehole,SWALIM_HGS,2012-02-25,Togdheer,Burco,Salebankulul/BUB020,,,,9.512,45.494777,,Yes,,,,,,,,
Borehole,SWALIM_HGS,2012-02-23,Togdheer,Burco,Sii Bak kti/BUB010,,,,9.513861,45.561055,,Yes,,,,,,,,
Borehole,SWALIM_HGS,2011-12-20,Togdheer,Burco,UNHABITAT04,,,,9.535388,45.617055,,Yes,,,,,,,,2003-10-14
Borehole,SWALIM_HGS,2011-12-20,Togdheer,Burco,UNHABITAT2,,,,9.541666,45.517555,,Yes,,,,,,,,2003-08-27
Dug Well,SWALIM_WSIS,2008-07-08,Nugaal,Garoowe,Xamur 3,Xamur,,,8.7216,48.7465,Yes,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-03,Nugaal,Garoowe,El Goddumei 2,,,,8.5041,48.7574,,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-08,Nugaal,Garoowe,Berdadawoco 2,,,,8.5015,48.778,No,No,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-05,Nugaal,Garoowe,Shimbiraaley 1,Xamur,,,8.6007,48.7908,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-06-19,Sanaag,Laasqoray,Xaydhan yaale,Laas qoray,,,11.1027,48.0184,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-06-29,Nugaal,Eyl,Finin,Hasbahale,,,7.83,49.4876,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-14,Nugaal,Garoowe,Siigadheer 1,Cano Yaskax,,,8.833,48.796,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-14,Nugaal,Garoowe,Siigadheer 3,Cano Yaskax,,,8.839,48.7997,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-05,Nugaal,Garoowe,Shimbiraaley 2,Xamur,,,8.5947,48.799,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-03,Nugaal,Garoowe,Xabgaal,Sinijiif,,,8.484,48.8117,Yes,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-01,Nugaal,Garoowe,Lavadulli 2,,,,8.5251,48.8632,,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-16,Nugaal,Garoowe,Xanandher,Sinujiif,,,8.4634,48.8626,Yes,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-01,Nugaal,Garoowe,Lavadulli 3,,,,8.5217,48.8718,,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-14,Nugaal,Garoowe,Cuun 2,Sigadheer,,,8.818,48.8917,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-02,Nugaal,Garoowe,Berkedaale,,,,8.4496,48.8997,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2009-09-30,Gedo,Luuq,Dogoble(Dogob),Lagadiima,,,3.7,42.35,Yes,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-01,Nugaal,Garoowe,Sinujif 3,,,,8.5196,48.9086,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-01,Nugaal,Garoowe,Sinujif 4,,,,8.526,48.9202,,Yes,,,,,,,,2001-04-11
Dug Well,SWALIM_HGS,2012-01-31,Nugaal,Garoowe,Lavadulli 4,,,,8.422,48.9271,,Yes,,,,,,,,
