water_source_type,inspecting_agency,inspection_date,region,district,source_name,nearest_settlement_name,establishing_agency,date_source_established,latitude,longitude,permanent,functioning,reason_for_non_functioning,management_type,wsc_date_of_establishment,cost_of_water_for_humans,name_of_operator,operator_contact_number,last_intervention_description,last_intervention_date
Borehole,FGS Ministry of Energy and Water Resources,2022-03-17,Hiraan,beled_weyne,Maxaas water supply,Maxaas hiran Somalia,Government of Somalia,13/11/1985,4.3906345,46.0911612,yes,Yes,,Utility/Local Authority,,,,,15-Nov-17,"Rehabilitation, water tanker, generator, two water kiosks, pipeline "
Borehole,FGS Ministry of Energy and Water Resources,2022-04-18,Bay,diinsoor,Galooly,Galooley,Community_,,1.86048,42.62587,yes,Yes,,Communal,,,,,,
Borehole,FGS Ministry of Energy and Water Resources,2022-03-23,Gedo,luuq,Heloshiid community well,Heloshiid ,Norwegian Church Aid,26/02/2015,3.8031783,42.5507366,yes,Yes,,Communal,17-Mar-16,,,,27-Mar-22,
Borehole,FGS Ministry of Energy and Water Resources,2022-03-30,Lower Juba,kismayo,Kastayge-Bulagadud front yard of River,Bulagadud,ACTED,11/12/2021,-0.0709846,42.5854934,yes,Yes,,Communal,10-Dec-21,,,,28-Feb-21,Installing of one concrete tank and piping system
Borehole,FGS Ministry of Energy and Water Resources,2022-03-23,Gedo,luuq,Montara well,Minyara,Somalia Water and Land Information Management,27/09/2016,3.8039745,42.5500089,yes,Yes,,Communal,21-Apr-17,,,,22-Sep-17,Rehabilitation of animal troughs 
Borehole,FGS Ministry of Energy and Water Resources,2022-04-18,Bay,qansax_dheere,Matan mayow,Jurow,not_specified,,2.699025,42.906133,yes,Yes,,Communal,,,,,,
Borehole,FGS Ministry of Energy and Water Resources,2022-03-30,Lower Juba,kismayo,Kastayge-Bulagadud,Bulagadud,International Organisation of Migration,01/08/2019,-0.071106,42.5857687,yes,Yes,,Communal,28-Oct-19,,,,28-Feb-23,"Drill, did rehabilitation and removed sand"
Spring,FGS Ministry of Energy and Water Resources,2022-03-25,Bakool,ceel_barde,Cimilow shallow well,Cimilow,Action Afrika Hilfe e.V,25/11/2009,4.7944705,43.677324,yes,Yes,,Communal,25-Mar-09,,,,27-Mar-21,Sample intervation
Dam,FGS Ministry of Energy and Water Resources,2022-04-19,Bakool,tayeeglow,Ilkola,Kururug,Community,13/10/1983,3.992752,44.515256,yes,Yes,,Communal,,,,,,
Borehole,FGS Ministry of Energy and Water Resources,2022-03-16,Gedo,luuq,Waaberi community well,Waaberi,Advance for Small Enterprise Program,21/10/2010,3.786627,42.5444374,yes,Yes,,Communal,27-Aug-18,,,,26-Apr-19,Rehabilitation and renovation 
Spring,FGS Ministry of Energy and Water Resources,2022-03-24,Bakool,ceel_barde,Badacas spring well,Hallane,Aaran Relief and Development Organisation,24/03/2022,4.8270296,43.6582314,yes,Yes,,Communal,24-Mar-21,,,,24-Feb-21,Sample intervation
Borehole,Galmudug Ministry of Energy and Water Resources,2022-03-25,Galgaduud,dhusa_marreb,Geesaweyne,Marergur ,Former government of Somalia ,24/12/1981,0,0,yes,Yes,,Communal,,0.01,,,Solar,
Borehole,FGS Ministry of Energy and Water Resources,2022-04-10,Lower Juba,afmadow,Ceeldhiig ( one previously wrote same names is Dawanag,Dobley,,,0.395957,41.0091273,yes,Yes,,Communal,,,,,,Not 
Borehole,FGS Ministry of Energy and Water Resources,2022-04-25,Bakool,xudur,Biyoole,Biyoole,,,4.22917,43.56818,yes,Yes,,Communal,,,,,,
Dam,FGS Ministry of Energy and Water Resources,2022-06-11,Gedo,cel_waq,Warsesaraga,Barqamal,not_specified,07/12/1984,2.8468262,41.0722135,no,No,Its has not rain,Communal,,,,,,
Spring,FGS Ministry of Energy and Water Resources,2022-03-22,Bakool,ceel_barde,Halul,Hallane village,Community,24/01/1990,4.8283824,43.6579496,yes,Yes,,Communal,,,,,24-Mar-21,Sample intervation
Dam,FGS Ministry of Energy and Water Resources,2022-04-19,Bakool,tayeeglow,Wargalabey,Diinow,Community,01/05/2000,4.070615,44.471563,yes,Yes,,Communal,,,,,,
Borehole,Somaliland Ministry of Water Resources Development,2022-04-13,Woqooyi Galbeed,hargeisa,Jaleelo dug well,Jaleelo,European union,12/11/2009,9.766099,44.2920881,yes,Yes,,,,,,,,
Dam,FGS Ministry of Energy and Water Resources,2022-03-22,Hiraan,beled_weyne,Kanewcaale dam,Kaneecaale,Community,22/01/2018,5.0657288,45.3011793,no,Yes,,Private/Individual,,,,,22-Mar-17,Rehabilitation
Berkad,FGS Ministry of Energy and Water Resources,2022-06-10,Gedo,belet_xaawo,Berkad Ala Amin,Ala Amiin,Lifeline Gedo LLG,12/01/2020,3.9584022,41.929616,yes,Yes,,Communal,6-Nov-20,,,,,
Dam,FGS Ministry of Energy and Water Resources,2022-03-14,Hiraan,beled_weyne,Berkad feerfeer,Feerfeer somalia,Community,03/10/2019,5.0553435,45.1468108,no,Yes,,Utility/Local Authority,,,,,3-Jun-20,Rehabilitation
Dam,Somaliland Ministry of Water Resources Development,2022-05-06,Awdal,borama,Qolujeed Dam,Qolujeed,Community,01/08/2008,10.0954408,43.0145207,no,Yes,,Communal,,,,,,
Dam,Somaliland Ministry of Water Resources Development,2022-05-05,Awdal,borama,Aasho caddo dam,Aasho caddo,,01/01/2008,9.9271756,43.1106508,no,Yes,,Communal,,,,,,
Borehole,Somaliland Ministry of Water Resources Development,2022-05-06,Awdal,borama,Oslo,Borame,Oslo,04/02/2017,9.9392073,43.1825111,yes,Yes,,,,,,,,
Borehole,FGS Ministry of Energy and Water Resources,2022-03-23,Gedo,luuq,Afmadobe well,Tuulo Afmadobe,Norwegian Church Aid,26/01/2017,3.8031565,42.5506934,yes,Yes,,Communal,27-Mar-17,,,,24-Dec-17,Renovation 
Dam,FGS Ministry of Energy and Water Resources,2022-04-19,Bakool,tayeeglow,Misir,Misir ,Community,01/05/1972,3.986712,44.59611,yes,Yes,,Communal,,,,,,
Dam,FGS Ministry of Energy and Water Resources,2022-04-19,Bakool,tayeeglow,Saryara,Saryara,Community,29/09/1958,4.070246,44.519698,yes,Yes,,Communal,,,,,,
Dam,FGS Ministry of Energy and Water Resources,2022-04-24,Bakool,waajid,Qaydar ,Qaydar ,Community_,13/05/1967,3.794009,43.249611,yes,Yes,,Communal,,,,,,
Dam,FGS Ministry of Energy and Water Resources,2022-05-17,Lower Shabelle,wanla_weyn,Hajji Ganley WC,Fulayleey,Community_,12/12/1970,2.625,45.02722,yes,Yes,,Communal,,,,,,
Dam,Somaliland Ministry of Water Resources Development,2022-05-25,Togdheer,burco,Habasweyne Earth Dam,Habaasweyne,Food and Agriculture Organisation of the UN,24/03/2019,9.20659,45.11987,yes,Yes,,Communal,,,,,,
Dam,Somaliland Ministry of Water Resources Development,2022-05-25,Togdheer,burco,Gaitalay Earth Dam,Gatitalay,Food and Agriculture Organisation of the UN,21/01/2019,9.51847,44.86082,no,Yes,,Communal,,,,,,
Borehole,FGS Ministry of Energy and Water Resources,2022-04-19,Bay,diinsoor,Galooly,Galooley,Community_,,1.86048,42.62587,yes,Yes,,Communal,,,,,,
Borehole,Somaliland Ministry of Water Resources Development,2022-04-11,Woqooyi Galbeed,hargeisa,K.15.2,Geed deeble,HWA,,9.7697151,43.9764676,yes,Yes,,Communal,,,,,,
Dam,FGS Ministry of Energy and Water Resources,2022-03-21,Gedo,cel_waq,Qubawana dum,Qubawana,CARE Somalia,21/03/2022,2.830119,41.004279,no,No,3 months ago due to the Drought ,,,,,,21-Mar-22,Rehabilitation of the dam
Dam,Somaliland Ministry of Water Resources Development,2022-05-24,Togdheer,burco,Nasiye Earth Dam,Nasiye,Food and Agriculture Organisation of the UN,27/08/2019,8.75352,45.63196,no,No,For water shoortage due to the effect of droughts,Communal,,,,,,
Borehole,FGS Ministry of Energy and Water Resources,2022-04-22,Lower Shabelle,marka,Ceeljaale water supply ,Celjaale,Community,22/04/2022,1.6794111,44.7204636,yes,No,It stopped when its broken  its reason are only broking the water source and needs to replace ,Private/Individual,,,,,22-Apr-22,Type of intervention carried out by people 
Borehole,Somaliland Ministry of Water Resources Development,2022-04-19,Woqooyi Galbeed,hargeisa,Gaydhka borehole,Gaydhka settlement,SDF,16/05/2017,9.110465,44.1295911,yes,No,Becouse of the pump and riser pipe.,Communal,,,,,18/04/2022,"Rise pipe replacement, and pump replacement."
Borehole,Somaliland Ministry of Water Resources Development,2022-04-18,Sanaag,ceerigaabo,Haji mouse,Cerigabo,United Nations Children's Fund,18/07/2013,10.6369738,47.3571321,no,No,"1. Lacking pump
2. Generator
",Communal,,,,,,0
Borehole,Somaliland Ministry of Water Resources Development,2022-04-21,Woqooyi Galbeed,gebiley,Geed Abeera borehole,Geed Abeera,Concern Worldwide Somalia,21/04/2012,9.6074731,43.7539388,yes,No,8 years before becouse of the riser pipe and pump failure.,Communal,,,,,,
Borehole,Somaliland Ministry of Water Resources Development,2022-04-24,Sanaag,laasqoray,Qawane Borehole,Dhahar,,24/04/2011,9.7512908,48.8233078,no,No,"1. Solar cable extension problem.
2. Pump is not functional
3. Pipes _ 30×6  are rusted",Private/Individual,,,,,,0
Borehole,Somaliland Ministry of Water Resources Development,2022-04-21,Sanaag,laasqoray,Qorof borehole,Badhan,Somaliland Ministry of Water Resources Development,21/04/2014,10.7054349,48.4146724,no,No,1.Electic shock of extension cable.,Communal,,,,,,0
Borehole,Somaliland Ministry of Water Resources Development,2022-04-28,Woqooyi Galbeed,hargeisa,Masjid Hujaale borehole,Hargeisa,,24/08/2020,9.6238921,44.0445962,yes,No,,Private/Individual,,,,,,
Borehole,Somaliland Ministry of Water Resources Development,2022-05-05,Awdal,borama,Aasho-caddo Borame,Aasho cadd_borame,Amoud foundation,03/02/2021,9.914235,43.1073136,yes,No,Pump is not working,Communal,,,,,,
Borehole,Somaliland Ministry of Water Resources Development,2022-05-06,Sool,caynabo,Gadh gumareed Borehole,Gadhka,Somali government,30/11/2005,9.30790800601244,46.3555510528386,yes,No,This Borehole stopped functioning for 3 months due to pump mal functioning currently it needs replacement of riser pumps.,Utility/Local Authority,,,,,,No agency carried out any intervention for the last 3 years.
Borehole,Somaliland Ministry of Water Resources Development,2022-04-27,Woqooyi Galbeed,gebiley,Cago Wayne borehole 2,Carro yanbo,Cago Wayne ,,9.6577827,43.7986936,yes,No,8 months before becouse it collapse ,Private/Individual,,,,,,
Dam,Somaliland Ministry of Water Resources Development,2022-04-20,Woqooyi Galbeed,gebiley,Diin Goobaale Dam,Diin Goobaale Dam,IMC,20/03/2022,9.4284597,43.5891669,yes,No,The source is new it waits rain,Communal,21/04/2021,,,,,
Borehole,Somaliland Ministry of Water Resources Development,2022-05-11,Togdheer,burco,Agoomaha Bore hole,Mohed Ali area,,,9.5371573,45.4929327,no,No,Pump exhuestage,Private/Individual,,,,,,0
Spring,FGS Ministry of Energy and Water Resources,2022-04-19,Lower Shabelle,qoryooley,Warta Sheikh Bananey,Hodan ,Somalia Water and Land Information Management,19/04/1998,1.7920198,44.52322,yes,No,They work during the rainy season,Communal,,,,,,It is dug in a year
Dam,Somaliland Ministry of Water Resources Development,2022-04-18,Woqooyi Galbeed,hargeisa,Qool caday Dam,Qool caday village ,Community,,9.202549,44.1678591,no,No,Before 3 months becouse it has no geomembrane its depth needs extension.,Communal,,,,,18/02/2022,Desiltation 
Dam,Somaliland Ministry of Water Resources Development,2022-04-17,Woqooyi Galbeed,hargeisa,Sabawanaag Dam,"Sabawanaag district
",Somaliland Ministry of Water Resources Development,14/04/2021,9.04098,44.57294,no,No,New dam it waits the rain fall,Communal,,,,,,
Dam,Somaliland Ministry of Water Resources Development,2022-04-18,Woqooyi Galbeed,hargeisa,Salaxley Dam,Salaxley Dam ,Somaliland Ministry of Water Resources Development,15/05/2020,9.0097768,44.2099198,no,No,7 months becouse the work is going on and no more rain fall.,Communal,,,,,,
Dam,Somaliland Ministry of Water Resources Development,2022-04-18,Woqooyi Galbeed,hargeisa,Abdirahman(muruqliqe) Dam.,Qool caday village ,TIKA - Turkish International Cooperation and Development Agency,18/11/2021,9.2292277,44.1752113,no,No,After rainy season of the last year was established.,Private/Individual,,,,,,
Dam,Somaliland Ministry of Water Resources Development,2022-04-19,Woqooyi Galbeed,hargeisa,Bali Case Dam,Bali Case Dam ,Somaliland Ministry of Water Resources Development,19/04/2021,9.1628149,44.0805997,no,No,Under process ,Communal,,,,,,
Borehole,Galmudug Ministry of Energy and Water Resources,2022-03-20,Galgaduud,dhusa_marreb,Ceel Abshir,Guriel,Community ,20/03/2015,5.3250712,45.8798553,no,No,Casings had disappeared,Private/Individual,,,,,0,
Borehole,Somaliland Ministry of Water Resources Development,2022-04-13,Woqooyi Galbeed,hargeisa,Xunbo wayne borehole 4,Xunbo wayne village,Khalifa Foundation UAE,12/05/2015,9.814651,44.2907478,yes,No,Becouse the boreholes are too close  and affect each other and they are capped with 13 in number,Communal,,,,,,
Borehole,Somaliland Ministry of Water Resources Development,2022-04-27,Woqooyi Galbeed,gebiley,Xasan borehole,Huluuq ,Xasan ,22/04/2022,9.6625184,43.7884759,yes,No,"New, still is under construction",Private/Individual,,,,,,
Dam,FGS Ministry of Energy and Water Resources,2022-04-22,Bay,bur_hakaba,Ubaare,Ubaare,Community_,01/01/1997,2.75645,44.03794,no,No,,Communal,,,,,,
Borehole,Somaliland Ministry of Water Resources Development,2022-04-12,Woqooyi Galbeed,hargeisa,Haruhaadlay borehole 3,Haruhaadlay,Hargeisa Water Agent,12/02/2016,9.8234483,44.0145348,yes,No,2 years ago,Communal,,,,,,
Borehole,Somaliland Ministry of Water Resources Development,2022-04-12,Woqooyi Galbeed,hargeisa,Hruhaadlay borehole 2,Horuhaadlay ,Hargeisa Water Agent,08/07/2016,9.8456869,44.0275593,yes,No,2 years before,Communal,,,,,,Pump and pipes
Borehole,Puntland Ministry of Energy Minerals and Water,2022-03-07,Mudug,goldogob,Xerojaalle,Xerojaalle,,,6.987134,47.1766608,no,No,"A months,  borehole problems",Communal,,,,,07/03/2020,Construction of elevated water
Borehole,Somaliland Ministry of Water Resources Development,2022-05-05,Sanaag,ceel_afweyn,Kulaal one borehole,Kulaal,"Puntland Ministry of Energy, Minerals and Water",24/09/2011,9.74837353918701,47.6491508726031,no,No,"When this borehole drilled it become poor and less productive after that the community of this area begun to mobilize and search for new water source.
So this borehole is non functioning.",Other,,,,,07/11/2011,This borehole is abondoned and don't need any intervention.
Borehole,Puntland Ministry of Energy Minerals and Water,2022-04-01,Togdheer,buuhoodle,Xadhadhan BH,Xadhadhan,ISRC - Islamic Relief Committee,01/04/2016,8.3000813,46.156516,yes,No,"Year and half, problem of pump and cables",Communal,01/04/2016,,,,01/04/2019,1. Rehabilitation of pump and cables
Borehole,Puntland Ministry of Energy Minerals and Water,2022-03-05,Mudug,galkayo,Galkacayo daryleel BH 3,Daryeel,Private,05/03/2015,6.8159721,47.4382714,no,No," A year ago,
 For Operational problem stopped.
",Utility/Local Authority,,,,,,
Dam,Somaliland Ministry of Water Resources Development,2022-05-05,Togdheer,burco,Bisiqa Earth Dam,Bisiqa,Food and Agriculture Organisation of the UN,24/04/2019,8.69586,45.46847,no,No,,Communal,,,,,,
Dam,Somaliland Ministry of Water Resources Development,2022-05-25,Togdheer,owdweyne,Ceelxume Earth Dam,Ceel xume,Food and Agriculture Organisation of the UN,21/02/2019,9.38673,45.15874,no,No,,,,,,,,
Dam,Somaliland Ministry of Water Resources Development,2022-05-25,Togdheer,burco,Beerato Earth Dam,Beerato,Food and Agriculture Organisation of the UN,22/04/2019,9.35534,45.07055,no,No,Damage of geomembrane,Communal,,,,,,
Borehole,Somaliland Ministry of Water Resources Development,2022-04-12,Sool,las_caanood,Gumays borehole 2,Gumays ,Save the Children UK,12/02/2022,8.8652018,46.7942551,yes,No,This borehole is Under construction,Communal,,,,,,
Borehole,Somaliland Ministry of Water Resources Development,2022-05-11,Togdheer,burco,Ceelka Rooda Cali fidhin,18 may,,23/12/2018,9.43775143940002,45.5060806218535,no,No,The Borehole is collapsed,,,,,,,
Borehole,Somaliland Ministry of Water Resources Development,2022-05-11,Togdheer,burco,Ceelka Warshadda Hilibka Xoolaha,October Area,Mamus Drilling Company,27/11/2015,9.50199206359685,45.568001428619,yes,No,This water source isnt functioning and its been abandoned  due to less yield of water.,Private/Individual,,,,,,
Borehole,Puntland Ministry of Energy Minerals and Water,2022-03-21,Bari,iskushuban,Tuulo ciise borehole,Tuulo ciise,Community_,15/02/2022,10.4278199,50.1535221,yes,No,The source has a potential high yield and its a new borehole and doesn't have the equipment to function and also there is no water tank.,Communal,,,,,,
Borehole,Puntland Ministry of Energy Minerals and Water,2022-02-28,Mudug,jariban,Garacad 2,Garacad,Community,28/10/2021,6.9727697,49.2928211,no,No,The water supply of this borehole still constructing,Communal,,,,,,
Borehole,Puntland Ministry of Energy Minerals and Water,2022-03-30,Sool,las_caanood,Faleeryaare BH,Faleryaalle,,12/02/2022,8.5449126,48.0735031,no,No,"This borehole is new, and infrastructure currently constructing",,,,,,12/03/2022,1. Construction of new elevated tank 
Borehole,Somaliland Ministry of Water Resources Development,2022-04-10,Sool,las_caanood,Dhabansaar borehole,Dhabansaar,ACTED,10/04/2022,8.5358823,46.9719581,yes,No,It is under construction,Communal,,,,,,
Borehole,Somaliland Ministry of Water Resources Development,2022-04-07,Sool,las_caanood,Oodogooye borehole 1,Oodogooye,Somaliland Development Fund-SDF,07/01/2022,8.4942285,47.4203142,yes,No,"The borehole is new and not installed the  supply system,  the pump and the generator all are missing.",Communal,,,,,,
